# label=echo pid=2675398 expect=umbra-bench
# cmdline=/opt/umbra/umbra-bench -echo 0.0.0.0:19224 
ts cpu_1s rss_kb nproc fd sock_fd host_tcp_est host_udp_socks host_tcp_tw
16:36:06 0.0 16308 14 79 1 4 2001 6
16:36:07 0.0 16308 14 79 1 4 2001 6
16:36:08 0.0 16308 14 79 1 4 2001 6
16:36:09 0.0 16308 14 79 1 4 2001 6
16:36:10 0.0 16308 14 79 1 4 2001 6
16:36:11 0.0 16308 14 79 1 4 2001 6
16:36:12 0.0 16308 14 79 1 4 2001 6
16:36:14 0.0 16308 14 79 1 4 2001 6
16:36:15 0.0 16308 14 79 1 4 2001 6
16:36:16 0.0 16308 14 79 1 4 2001 6
16:36:17 0.0 16308 14 79 1 4 2001 6
16:36:18 0.0 16308 14 79 1 4 2001 6
16:36:19 0.0 16308 14 79 1 4 2001 6
16:36:20 0.0 16308 14 79 1 4 2001 6
16:36:21 0.0 16308 14 79 1 4 2001 7
16:36:22 0.0 16308 14 79 1 4 2001 7
16:36:23 0.0 16308 14 79 1 4 2001 7
16:36:24 0.0 16308 14 79 1 4 2001 6
16:36:25 0.0 16308 14 79 1 4 2001 6
16:36:26 0.0 16308 14 79 1 4 2001 6
16:36:27 0.0 16308 14 79 1 4 2001 6
16:36:28 0.0 16308 14 79 1 4 2001 6
16:36:29 0.0 16308 14 79 1 4 2001 6
16:36:30 0.0 16308 14 79 1 4 2001 7
16:36:31 0.0 16308 14 79 1 4 2001 6
16:36:32 0.0 16308 14 79 1 4 2001 7
16:36:33 0.0 16308 14 79 1 4 2001 7
16:36:34 0.0 16308 14 79 1 4 2001 7
16:36:35 0.0 16308 14 79 1 4 2001 6
16:36:36 0.0 16308 14 79 1 4 2001 6
16:36:37 0.0 16308 14 79 1 4 2001 6
16:36:38 0.0 16308 14 79 1 4 2001 6
16:36:39 0.0 16308 14 79 1 4 2001 6
16:36:40 0.0 16308 14 79 1 4 2001 6
16:36:42 0.0 16308 14 79 1 4 2001 6
16:36:43 0.0 16308 14 79 1 4 2001 6
16:36:44 0.0 16308 14 79 1 4 2001 6
16:36:45 0.0 16308 14 79 1 4 2001 6
16:36:46 0.0 16308 14 79 1 4 2001 6
16:36:47 0.0 16308 14 79 1 4 2001 6
16:36:48 0.0 16308 14 79 1 4 2001 6
16:36:49 0.0 16308 14 79 1 4 1271 6
16:36:50 0.0 16308 14 79 1 4 1271 6
16:36:51 0.0 16308 14 79 1 4 1271 7
16:36:52 0.0 16308 14 79 1 4 1271 6
16:36:53 0.0 16308 14 79 1 4 1271 6
16:36:54 0.0 16308 14 79 1 4 1271 6
16:36:55 0.0 16308 14 79 1 4 1271 6
16:36:56 0.0 16308 14 79 1 4 1271 6
16:36:57 0.0 16308 14 79 1 4 1271 6
16:36:58 0.0 16308 14 79 1 4 533 6
16:36:59 0.0 16308 14 79 1 4 533 6
16:37:00 0.0 16308 14 79 1 4 533 6
16:37:01 0.0 16308 14 79 1 4 533 6
16:37:02 0.0 16308 14 79 1 4 533 7
16:37:03 0.0 16308 14 79 1 4 533 7
16:37:04 0.0 16308 14 79 1 4 533 6
16:37:05 0.0 16308 14 79 1 4 533 6
16:37:06 0.0 16308 14 79 1 4 533 6
16:37:07 0.0 16308 14 79 1 4 97 6
16:37:08 0.0 16308 14 79 1 4 97 6
16:37:09 0.0 16308 14 79 1 4 97 6
16:37:10 0.0 16308 14 79 1 4 97 6
16:37:12 0.0 16308 14 79 1 4 97 6
16:37:13 0.0 16308 14 79 1 4 97 6
16:37:14 0.0 16308 14 79 1 4 97 6
16:37:15 0.0 16308 14 79 1 4 97 6
16:37:16 0.0 16308 14 79 1 4 97 6
16:37:17 0.0 16308 14 79 1 4 58 6
16:37:18 0.0 16308 14 79 1 4 58 6
16:37:19 0.0 16308 14 79 1 4 58 6
16:37:20 0.0 16308 14 79 1 4 58 6
16:37:21 0.0 16308 14 79 1 4 58 7
16:37:22 0.0 16308 14 79 1 4 58 7
16:37:23 0.0 16308 14 79 1 4 58 7
16:37:24 0.0 16308 14 79 1 4 58 7
16:37:25 0.0 16308 14 79 1 4 37 6
16:37:26 0.0 16308 14 79 1 4 1 6
16:37:27 0.0 16308 14 79 1 4 1 6
16:37:28 0.0 16308 14 79 1 4 1 6
16:37:29 0.0 16308 14 79 1 4 1 6
16:37:30 0.0 16308 14 79 1 4 1 7
16:37:31 0.0 16308 14 79 1 4 1 7
16:37:32 0.0 16308 14 79 1 4 1 8
16:37:33 0.0 16308 14 79 1 4 1 6
16:37:34 0.0 16308 14 79 1 4 1 6
16:37:35 0.0 16308 14 79 1 4 1 6
16:37:36 0.0 16308 14 79 1 4 1 6
16:37:37 0.0 16308 14 7 1 4 1 6
16:37:38 0.0 16308 14 7 1 4 1 6
16:37:39 0.0 16308 14 7 1 4 1 6
16:37:40 0.0 16308 14 7 1 4 1 6
16:37:41 0.0 16308 14 7 1 4 1 6
16:37:42 0.0 16308 14 7 1 4 1 6
16:37:43 0.0 16308 14 7 1 4 1 6
16:37:44 0.0 16308 14 7 1 4 1 6
16:37:45 0.0 16308 14 7 1 4 1 6
16:37:46 0.0 16308 14 7 1 4 1 6
16:37:47 0.0 16308 14 7 1 4 1 6
16:37:49 0.0 16308 14 7 1 4 1 6
16:37:50 0.0 16308 14 7 1 4 1 6
16:37:51 0.0 16308 14 7 1 4 1 7
16:37:52 0.0 16308 14 7 1 4 1 7
16:37:53 0.0 16308 14 7 1 4 1 7
16:37:54 0.0 16308 14 7 1 4 1 6
16:37:55 0.0 16308 14 7 1 4 1 6
16:37:56 0.0 16308 14 7 1 4 1 6
16:37:57 0.0 16308 14 7 1 4 1 6
16:37:58 0.0 16308 14 7 1 4 1 6
16:37:59 0.0 16308 14 7 1 4 1 6
16:38:00 0.0 16308 14 7 1 4 1 7
16:38:01 0.0 16308 14 7 1 4 1 7
16:38:02 0.0 16308 14 7 1 4 1 6
16:38:03 0.0 16308 14 7 1 4 1 6
16:38:04 0.0 16308 14 7 1 4 1 6
16:38:05 0.0 16308 14 7 1 4 1 6
16:38:06 0.0 16308 14 7 1 4 1 6
16:38:07 0.0 16308 14 7 1 4 1 6
16:38:08 0.0 16308 14 7 1 4 1 6
16:38:09 0.0 16308 14 7 1 4 1 6
16:38:10 0.0 16308 14 7 1 4 1 6
16:38:11 0.0 16308 14 7 1 4 1 6
16:38:12 0.0 16308 14 7 1 4 1 6
16:38:13 0.0 16308 14 7 1 4 1 6
16:38:14 0.0 16308 14 7 1 4 1 6
16:38:15 0.0 16308 14 7 1 5 1 6
